id,exam_id,statement,area,correct,alternative_a,alternative_b,alternative_c,alternative_d,created_at,updated_at,tags,number,confidence,source,embedding
0c025034-5532-875d-940b-57a99aca4022,2409242a-96d9-88eb-bc25-d63b972f946f,"Augusto assinou um contrato de adesão com a sociedade empresária AquaLimpa, fornecedora de água e esgoto em sua cidade, para o fornecimento de água em sua residência. Após meses de uso regular, Augusto foi surpreendido por uma cobrança inesperada no valor de R$ 2.500,00 (dois mil e quinhentos reais), sendo alegado um “ajuste de consumo retroativo”. A sociedade empresária AquaLimpa informou que o valor deveria ser pago imediatamente para evitar o corte no fornecimento de água. No entanto, Augusto verificou que o contrato não mencionava essa possibilidade de ajuste retroativo, nem qualquer explicação prévia sobre o cálculo desse valor. Diante da situação hipotética narrada e com base no Código de Defesa do Consumidor, assinale a afirmativa correta.",direito_do_consumidor,B,"Por ser um contrato escrito, Augusto não tem direito de contestar a cobrança, já que os termos do contrato foram previamente estipulados pela sociedade empresária e aceitos por ele.","Augusto deve questionar judicialmente a cobrança, uma vez que o contrato de adesão deve ser interpretado da forma mais favorável ao consumidor quando houver cláusulas ambíguas, contraditórias ou omissas.","Como o fornecimento de água é um serviço essencial, a sociedade empresária AquaLimpa não pode cortar o fornecimento de água, embora possa realizar a cobrança dos valores retroativos nos termos pactuados.","A sociedade empresária AquaLimpa pode cortar o fornecimento de água imediatamente se Augusto não pagar a dívida, pois a imediata interrupção no fornecimento de serviços em razão de inadimplência, independentemente de notificação, é lícita.",2026-04-17 18:15:02.507360 +00:00,2026-04-18 18:57:12.207252 +00:00,"[""CDC"", ""contrato de adesão"", ""cláusula abusiva"", ""ajuste retroativo"", ""serviço essencial""]",45,0.95,initial,
1127d177-e404-8d0c-984c-d7f401a02ac7,2409242a-96d9-88eb-bc25-d63b972f946f,"Educando 100%, associação civil sem fins lucrativos, portadora de Certificado de Entidade Beneficente de Assistência Social (CEBAS), contratou a Construtora ABC Ltda. a fim de que esta realizasse a construção de um novo edifício para a entidade beneficente. Sobre o serviço de realização de obras incide o Imposto sobre Serviços (ISS), e a lei local, instituidora do tributo, estabeleceu que é obrigação da tomadora do serviço a retenção do ISS devido. Contudo, Educando 100% não reteve o ISS devido sobre a obra. A construtora prestadora do serviço também não efetuou o pagamento do ISS devido. Sobre a pretensão do Fisco de fazer a cobrança da dívida tributária, assinale a afirmativa correta.",direito_tributario,B,A imunidade de Educando 100% impede que incida o ISS nessa prestação de serviços de obras.,"Como responsável tributária pela retenção do ISS devido, Educando 100% pode ser cobrada pelo Fisco municipal.","Educando 100%, na condição de contribuinte, pode ser cobrada pelo Fisco municipal quanto a tais débitos de ISS.","Educando 100% é uma entidade imune, de modo que não se aplica a ela a lei local que estabelece a obrigação de o tomador do serviço reter o ISS.",2026-04-17 18:15:02.507239 +00:00,2026-04-18 18:57:12.207253 +00:00,"[""ISS"", ""responsabilidade tributária"", ""substituição tributária"", ""imunidade tributária"", ""entidade beneficente""]",28,0.93,initial,
12ce5a09-ed93-8256-b8a6-bc905c9df0f0,2409242a-96d9-88eb-bc25-d63b972f946f,"O Estado Alfa, ao final do segundo bimestre de um determinado exercício financeiro, percebeu que a realização da receita poderia não comportar o cumprimento das metas de resultado primário estabelecidas no Anexo de Metas Fiscais. Em razão disso, o Poder Executivo teve de realizar, nos trinta dias subsequentes, limitação de empenho e movimentação financeira. Diante desse cenário, assinale a opção que apresenta, corretamente, a despesa que poderia ser objeto de tal limitação de empenho.",direito_financeiro,D,A despesa que constitua obrigação legal do ente estadual.,A despesa com o pagamento do serviço da dívida estadual.,A despesa com desenvolvimento científico custeada por fundo criado para tal finalidade.,A despesa com aquisição de material de consumo para setores administrativos do Poder Executivo.,2026-04-17 18:15:02.507208 +00:00,2026-04-18 18:57:12.207253 +00:00,"[""Lei de Responsabilidade Fiscal"", ""limitação de empenho"", ""metas fiscais"", ""resultado primário"", ""execução orçamentária""]",24,0.92,initial,
1a1980d9-c705-871d-9660-738b860d055c,2409242a-96d9-88eb-bc25-d63b972f946f,"A sociedade empresária Elétrica Passa Sete Ltda., por meio de seu administrador, ajuizou tempestivamente ação renovatória de locação não residencial referente ao imóvel onde está localizada a filial na cidade de Varginha, MG. Na petição inicial, a autora indicou as condições oferecidas para a renovação da locação, especialmente o novo valor do aluguel proposto. Apresentada a contestação, o locador informou que recebeu proposta de terceiro para a nova locação em condições melhores do que aquelas propostas pela locatária na petição inicial, sendo o valor locativo do imóvel 12% maior do que o oferecido pela locatária. Considerados os fatos narrados, assinale a afirmativa correta.",direito_empresarial,C,"O locador não pode apresentar na contestação proposta de terceiro para a locação, ainda que em condições melhores, diante do direito potestativo do locatário à renovação compulsória.","A proposta de terceiro pode ser apresentada em documento público ou particular. Caso o documento seja particular e esteja com assinatura autenticada, é dispensável a intervenção de testemunhas.","O locatário poderá, em réplica, manifestar ao locador que aceita as condições apresentadas por terceiro para obter a renovação pretendida.","O ramo de negócio a ser explorado pelo terceiro proponente pode ou não ser o mesmo do locatário, desde que seja explorado continuadamente nos últimos três anos.",2026-04-17 18:15:02.507414 +00:00,2026-04-18 18:57:12.207253 +00:00,"[""ação renovatória"", ""locação não residencial"", ""proposta de terceiro"", ""Lei do Inquilinato"", ""direito empresarial""]",50,0.88,initial,
1bc88fbc-b0dd-80e2-850b-b40a0f4b5e68,2409242a-96d9-88eb-bc25-d63b972f946f,"A sociedade empresária Algoz, ao realizar o tratamento de determinados produtos químicos, causou danos ambientais que comprometeram o solo de sua propriedade, sendo certo que tanto o Estado X quanto o Município Y foram omissos no dever de fiscalização. Após a poluidora mascarar os aludidos danos, a propriedade foi vendida para a sociedade empresária Crédula, que não tinha conhecimento de tais fatos. Diante da situação descrita, o Ministério Público ajuizou ação civil pública com vistas a obter a responsabilização civil em decorrência dos danos ambientais, sendo certo que incluiu no polo passivo da demanda a sociedade empresária Crédula, atual proprietária, a sociedade Algoz, que praticou a conduta lesiva ao meio ambiente, bem como o Estado X e o Município Y, pela omissão deles no dever de fiscalização. Considerando os dados apresentados, assinale a afirmativa correta.",direito_ambiental,D,"Os entes federativos têm legitimidade passiva para a demanda, na medida em que sua conduta omissiva não pode ensejar a responsabilização civil.","Apenas a sociedade empresária Algoz tem legitimidade passiva para a demanda, na medida em que foi a única que praticou a conduta comissiva que ensejou o dano ambiental.","A sociedade empresária Crédula não pode ser civilmente responsabilizada pelos danos ambientais em comento, de modo que não poderia constar do polo passivo da demanda.","Tanto as referidas sociedades quanto os entes federativos têm legitimidade passiva para a demanda, pois são passíveis de responsabilização civil todos aqueles que concorrerem para o dano ambiental, comissiva ou omissivamente, sendo certo que a obrigação ambiental é de natureza propter rem.",2026-04-17 18:15:02.507292 +00:00,2026-04-18 18:57:12.207254 +00:00,"[""responsabilidade civil ambiental"", ""dano ambiental"", ""obrigação propter rem"", ""ação civil pública"", ""poluidor""]",35,0.93,initial,
2143fb70-4afd-86e3-9f9a-91a40c1ad254,2409242a-96d9-88eb-bc25-d63b972f946f,"Lucas requereu o cumprimento de sentença de obrigação de pagar alimentos, decorrente de sentença condenatória proferida em desfavor de Leonardo, seu pai, que é servidor público, condenado ao pagamento de alimentos, no percentual de 20% de seus rendimentos líquidos. Regularmente intimado, Leonardo não pagou o débito cobrado, porém apresentou petição alegando que enfrenta dificuldades financeiras que impossibilitam o cumprimento da obrigação, requerendo ao Juízo a concessão de maior prazo para pagar a dívida. Sobre o caso apresentado, assinale a afirmativa correta.",direito_processual_civil,D,A comprovação de que Leonardo poderá cumprir parcialmente a obrigação alimentar justificará o inadimplemento em absoluto.,"Não acolhida a defesa de Leonardo, o Juiz decretará a sua prisão pelo prazo de dois a seis meses, que, se cumprida, o eximirá do pagamento das prestações vencidas.",O Juiz poderá ordenar a prisão civil de Leonardo em razão do inadimplemento das obrigações referentes às cinco prestações anteriores ao ajuizamento da execução e as que vencerem no curso do processo.,"Lucas poderá requerer o desconto em folha de pagamento da importância da prestação alimentícia, buscando o pagamento dos alimentos vencidos e vincendos devidos por Leonardo, até o limite de 50% dos ganhos líquidos do executado.",2026-04-17 18:15:02.507441 +00:00,2026-04-18 18:57:12.207254 +00:00,"[""cumprimento de sentença"", ""alimentos"", ""prisão civil"", ""desconto em folha"", ""execução de alimentos""]",53,0.91,initial,
21f9c4e8-5a66-82bb-b94b-9ac4599aa3f8,2409242a-96d9-88eb-bc25-d63b972f946f,"Bernardo é gerente bancário e teve seu filho levado por terceiros, que lhe exigiram o pagamento de um milhão de reais para devolvê- lo com vida. Bernardo, valendo-se de sua condição de gerente de banco, foi à agência em que trabalhava e subtraiu a quantia, sendo, entretanto, flagrado quando chegava em sua casa portando o dinheiro subtraído. Sobre a situação de Bernardo no fato hipotético, assinale a afirmativa correta.",direito_penal,B,Agiu amparado por exercício regular de direito.,Está isento de pena por inexigibilidade de conduta diversa.,Agiu em legítima defesa de terceiro e está excluída a antijuridicidade da conduta.,"Deve responder pelo crime de furto consumado, pois chegou a ter posse pacífica do dinheiro.",2026-04-17 18:15:02.507507 +00:00,2026-04-18 18:57:12.207255 +00:00,"[""furto consumado"", ""inexigibilidade de conduta diversa"", ""legítima defesa de terceiro"", ""excludente de culpabilidade"", ""sequestro""]",62,0.93,initial,
23fa37e2-c86c-8bb1-82ed-f7f986ff2a83,2409242a-96d9-88eb-bc25-d63b972f946f,"A Lei Federal nº 1.079/1950 define os crimes de responsabilidade praticados pelo Presidente da República e traz normas regulando o respectivo processo. Há poucos meses, o Diretório Nacional do Partido Político Alfa consultou você, como advogado(a), sobre a possibilidade de ingressar com Ação Direta de Inconstitucionalidade (ADI) para impugnar alguns dispositivos da Lei nº 1.079/1950 que considerava incompatíveis com a ordem constitucional. Sobre a hipótese apresentada, assinale a afirmativa correta.",direito_constitucional,D,"Como a Lei nº 1.079/1950 foi recepcionada pela ordem constitucional vigente, continuando a produzir efeitos nas últimas décadas, a Ação Direta de Inconstitucionalidade é a via de controle objetivo adequada para impugná-la.","Diante da fungibilidade reconhecida pelo Supremo Tribunal Federal entre a Ação Direta de Inconstitucionalidade e a Arguição de Descumprimento de Preceito Fundamental, admite-se, em qualquer caso, a conversão de uma via impugnativa em outra.","Embora seja cabível o ajuizamento de Ação Declaratória de Constitucionalidade em face da Lei nº 1.079/1950, para reconhecer a compatibilidade de seus dispositivos com a CRFB/88, a Ação Direta de Inconstitucionalidade não se presta a impugnar dispositivos de lei pré-constitucional.","A Ação Direta de Inconstitucionalidade não é a via de controle objetivo adequada para impugnar os dispositivos da Lei nº 1.079/1950, e, por se tratar de erro grosseiro, o Supremo Tribunal Federal não admite sua fungibilidade com a Arguição de Descumprimento de Preceito Fundamental.",2026-04-17 18:15:02.507136 +00:00,2026-04-18 18:57:12.207255 +00:00,"[""ADI"", ""ADPF"", ""controle de constitucionalidade"", ""lei pré-constitucional"", ""STF""]",15,0.94,initial,
24cd9167-89d1-842e-96cf-516769434dc4,2409242a-96d9-88eb-bc25-d63b972f946f,"Ana é advogada e acaba de dar à luz seu primeiro filho, a quem ainda amamenta. Ela foi cientificada de que a Sexta Câmara Cível deverá julgar um caso em que é uma das advogadas constituídas pelo recorrente. Sobre a hipótese, assinale a opção que indica o direito que Ana tem assegurado.",etica_profissional,D,Vaga reservada na garagem do Fórum.,"Suspensão de prazos processuais, desde que haja notificação por escrito ao cliente.",Entrada em tribunais sem ser submetida a detectores de metais e aparelhos de raios X.,"Acesso a creche, onde houver, ou a local adequado para o atendimento das necessidades do bebê.",2026-04-17 18:15:02.507077 +00:00,2026-04-18 18:57:12.207256 +00:00,"[""prerrogativas do advogado"", ""advogada lactante"", ""Estatuto da OAB"", ""direitos profissionais"", ""tribunal""]",7,0.93,initial,
288ea0fa-b5ec-81ba-9778-660a8519d4ca,2409242a-96d9-88eb-bc25-d63b972f946f,"Considere hipoteticamente que determinado Tribunal, no julgamento de três casos diversos, profere as seguintes decisões: I. Ao analisar determinada lei que diz ser “proibida a entrada de animais em estabelecimentos comerciais”, o Tribunal decide que cães-guias de pessoas com deficiência visual não estão abrangidos pela norma. II. Interpretando lei segundo a qual “é proibido fumar em ambientes fechados”, o Tribunal considera que a proibição deve se limitar ao que está textualmente contido na norma. III. Com base em lei que prevê o “benefício da licença- maternidade à mãe biológica”, o Tribunal defere esse benefício a uma mãe adotiva. Assinale a opção que indica corretamente os tipos de interpretação adotados pelo Tribunal nos casos I, II e III, respectivamente.",filosofia_do_direito,C,"Extensiva, teleológica e axiológica.","Axiológica, restritiva e especificadora.","Restritiva, especificadora e extensiva.","Especificadora, restritiva e teleológica.",2026-04-17 18:15:02.507097 +00:00,2026-04-18 18:57:12.207256 +00:00,"[""hermenêutica jurídica"", ""interpretação extensiva"", ""interpretação restritiva"", ""interpretação teleológica"", ""métodos de interpretação""]",10,0.95,initial,
